#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00321_VAL;“Terrible will be the battle, and many men shall be slain. But fear not the axes of the enemy, for when the day is done, and the dead lie strewn in the field of glory, Oðinn himself shall ride o’erhead upon Sleipnir the eight-legged, and he shall take the worthy to his halls in the afterlife. There you shall join your forefathers at the Allfather’s side, and prepare for the coming Ragnarök, when all those who died in battle will return and fight beside the Gods against the forces of Helheim!” A cheer rises amongst the men, and they beat their shields to a chant of “[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!”;"Terrible sera la bataille, et beaucoup d'hommes seront tués. Mais ne crains pas les haches de l'ennemi, car le jour est terminé, et le mensonge qui est partagé dans le champ de la gloire, Oðinn lui-même roulera sur Sleipnir les huit pattes, et il prendra le digne de ses salles Dans l'au-delà. Là, vous vous joindrez à vos ancêtres du côté de l'Allégorie, et préparez-vous pour le prochain Ragnarök, quand tous ceux qui sont morts dans la bataille retourneront et se battront à côté des Dieux contre les forces d'Hélène! "Une éloge s'élève entre les hommes et ils battent leur Des boucliers à un chant de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";"Terrible sera la bataille, et beaucoup d'hommes seront tués. Mais ne crains pas les haches de l'ennemi, car le jour est terminé, et le mensonge qui est partagé dans le champ de la gloire, Oðinn lui-même roulera sur Sleipnir les huit pattes, et il prendra le digne de ses salles Dans l'au-delà. Là, vous vous joindrez à vos ancêtres du côté de l'Allégorie, et préparez-vous pour le prochain Ragnarök, quand tous ceux qui sont morts dans la bataille retourneront et se battront à côté des Dieux contre les forces d'Hélène! "Une éloge s'élève entre les hommes et ils battent leur Des boucliers à un chant de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;"Terrible será la batalla, y muchos serán muertos. Pero no temáis las hachas del enemigo, porque cuando se acabe el día, y la mentira muerta esparcida en el campo de la gloria, Oðinn mismo cabalgará sobre Sleipnir el de ocho patas, y llevará a los dignos a sus salas En la vida futura. Allí se unirán a vuestros antepasados al lado del Allfather, y se prepararán para el venidero Ragnarök, cuando todos los que murieron en la batalla volverán y lucharán al lado de los Dioses contra las fuerzas de Helheim! "Una alegría se eleva entre los hombres, Escudos a un canto de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;;;;;;;;x
EVTDESC_ROBMODNORSE_00321_GLORY;“The marches shall be long and arduous, and the battles bloody and terrible. But within each of you lies the heart of a warrior: of a Norseman bred not for the sowing of crops or the rearing of babes, but for winning glory on the field of war! Before long every shepherd in the mountains of Norvegr and every tavern girl in the docks of Sjæland will know of your deeds, and long shall live the names of the dead.” A deafening cheer rises amongst the men, and they beat their shields to the chant of “[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!”;"Les marches seront longues et ardentes, et les batailles sanglantes et terribles. Mais au sein de chacun de vous se trouve le cœur d'un guerrier: d'un Norseman élevé non pas pour le semis des cultures ou l'élevage des bébés, mais pour gagner la gloire sur le champ de la guerre! Au fil du temps, tout berger dans les montagnes de Norvège et chaque taverne dans les quais de Sjæland connaîtra vos œuvres, et longtemps vivra le nom des morts. »Une grogne assourdissante s'élève parmi les hommes, et ils battent leurs boucliers au Chant de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";"Die Märsche sollen lang und mühsam sein, und die Schlachten sind blutig und schrecklich. Aber in jedem von euch liegt das Herz eines Kriegers: eines Norsemans, der nicht für die Aussaat von Getreide oder die Aufzucht von Babys gezüchtet wird, sondern um den Ruhm auf dem Feld des Krieges zu gewinnen! In Kürze wird jeder Hirte in den Bergen von Norvegr und jede Taverne Mädchen in den Docks von Sjæland von deinen Taten wissen, und lange werden die Namen der Toten leben. "Ein ohrenbetäubender Beifall steigt unter den Männern, und sie schlagen ihre Schilde an die Chant von "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;"Las marchas serán largas y arduas, y las batallas sangrientas y terribles. Pero dentro de cada uno de ustedes se encuentra el corazón de un guerrero: de un Norseman criado no para la siembra de las cosechas o la crianza de los bebés, sino para ganar la gloria en el campo de la guerra! En poco tiempo todo pastor en las montañas de Norvegr y toda muchacha de la taberna en los muelles de Sjæland sabrá de tus hechos, y vivirá durante mucho tiempo los nombres de los muertos. "Una alegría ensordecedora se levanta entre los hombres, y golpean sus escudos a la Canto de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;;;;;;;;x
EVTDESC_ROBMODNORSE_00321_RIGHT;“There are those that will tell you that this war is not just. The cravens and the white-livered will whisper that our cause is unrighteous. But to their objections I say this: a Norseman does not bend, and he does not ask. We are all Norsemen, and we reave and plunder and take what is ours by virtue of strength and valour!” A deafening cheer rises amongst the men, and they beat their shields to the chant of “[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!”;"Il y a ceux qui vous diront que cette guerre n'est pas juste. Les cravens et le white-livered chuchotent que notre cause est injuste. Mais à leurs objections, je dis ceci: un Norseman ne se penche pas, et il ne demande pas. Nous sommes tous Norsemen, et nous critiquons et pillons et nous emmenons ce qui est à nous en vertu de la force et de la bravoure! "Une émotion assourdissante s'élève parmi les hommes, et ils ont battu leurs boucliers au chant de" [Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";"Es gibt diejenigen, die dir sagen werden, dass dieser Krieg nicht nur ist. Die Vergewaltigungen und die weiß-livered werden flüstern, dass unsere Ursache ungerecht ist. Aber zu ihren Einwänden sage ich das: Ein Norseman beugt sich nicht, und er fragt nicht. Wir sind alle Norsemen, und wir reißen und plündern und nehmen das, was uns gehört, durch Kraft und Tapferkeit! "Ein ohrenbetäubender Beifall steigt unter den Männern, und sie schlagen ihre Schilde zum Gesang von" [Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;"Hay quienes te dirán que esta guerra no es justa. Los ciegos y los blancos le dirán que nuestra causa es injusta. Pero a sus objeciones digo esto: un Norseman no se dobla, y él no pide. Todos somos nórdicos, y reavivamos y saqueamos y tomamos lo que es nuestro en virtud de la fuerza y el valor! "Una alabanza ensordecedora entre los hombres, y golpearon sus escudos con el canto de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;;;;;;;;x
EVTDESC_ROBMODNORSE_00321_FAM;“The enemy thinks he can invade our lands to take what is ours, what our forefathers fought to hold and protect. They think they can raid our villages, rape our women and take our children as thralls. But we are Norsemen: we are the reavers and the pillagers, and we will not suffer them!” A deafening cheer rises amongst the men, and they beat their shields to the chant of “[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!”;"L'ennemi pense qu'il peut envahir nos terres pour prendre ce qui est à nous, ce que nos ancêtres ont lutté pour maintenir et protéger. Ils pensent qu'ils peuvent raid nos villages, violent nos femmes et emmènent nos enfants comme garçons. Mais nous sommes Norsemen: nous sommes les récifs et les pillards, et nous ne les supporterons pas! "Une émotion assourdissante s'élève parmi les hommes, et ils ont battu leurs boucliers au chant de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";"Der Feind denkt, er kann in unsere Länder eindringen, um zu nehmen, was uns gehört, was unsere Vorfahren kämpften, um zu halten und zu schützen. Sie denken, sie können unsere Dörfer überfallen, unsere Frauen vergewaltigen und unsere Kinder als Thralls nehmen. Aber wir sind Norsemen: Wir sind die Revers und die Pfleger, und wir werden sie nicht leiden! "Ein ohrenbetäubender Beifall steigt unter den Männern, und sie schlagen ihre Schilde zum Gesang von "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;"El enemigo piensa que puede invadir nuestras tierras para tomar lo que es nuestro, lo que nuestros antepasados lucharon por sostener y proteger. Creen que pueden atacar nuestras aldeas, violar a nuestras mujeres y tomar a nuestros hijos como esclavos. ¡Pero nosotros somos los Norsemen: somos los reavers y los pillagers, y no los sufriremos! "Una alabanza ensordecedora se levanta entre los hombres, y golpearon sus escudos al canto de "[Root.GetFirstName]! [Root.GetFirstName]! [Root.GetFirstName]!";;;;;;;;;x
EVTOPTA_ROBMODNORSE_00321_VAL;“At-Valhöll!!”;“At-Valhöll!!”;“At-Valhöll!!”;;“At-Valhöll!!”;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00321_GLORY;“For honour and glory!”;"Pour l'honneur et la gloire!";"Für Ehre und Ruhm!";;"¡Por honor y gloria!";;;;;;;;;x
EVTOPTA_ROBMODNORSE_00321_RIGHT;“Now fight valiantly, and take what is rightfully yours!”;"Maintenant, lutte vaillamment, et prends ce qui est à juste titre à toi!";"Jetzt kämpfe tapfer und nimm, was dir recht ist!";;"¡Ahora luchad valientemente, y tomad lo que es legítimamente vuestro!";;;;;;;;;x
EVTOPTA_ROBMODNORSE_00321_FAM;“Now fight for your lands, and protect your families!”;"Maintenant, battez-vous pour vos terres et protégez vos familles!";"Jetzt kämpfe für deine Länder und schütze deine Familien!";;"¡Ahora lucha por tus tierras, y protege a tus familias!";;;;;;;;;x
# TEACH SWORDFIGHTING #
EVTDESC_ROBMODNORSE_00322_REL;It is high time your [GetFromRelation] [From.FirstName] learned how to fight, if [From.GetSheHe] is going to win glory on the battlefield. And who better to teach [From.GetHerHim] than I, a feared Champion of Miðgarðr? The training shall begin at once.;Il est grand temps que votre [GetFromRelation] [From.FirstName] ait appris à se battre, si [From.GetSheHe] va gagner la gloire sur le champ de bataille. Et qui mieux enseigner [From.GetHerHim] que moi, un champion redoutable de Miðgarðr? La formation commence à la fois.;Es ist höchste Zeit, dass Ihr [GetFromRelation] [From.FirstName] gelernt hat, wie man kämpft, wenn [From.GetSheHe] den Ruhm auf dem Schlachtfeld gewinnen wird. Und wer besser zu lehren [From.GetHerHim] als ich, ein gefürchte Champion von Miðgarðr? Die Ausbildung beginnt sofort.;;Ya es hora de que [GetFromRelation] [From.FirstName] aprenda a luchar, si [From.GetSheHe] va a ganar la gloria en el campo de batalla. ¿Y quién mejor para enseñar [From.GetHerHim] que yo, un temido Campeón de Miðgarðr? El entrenamiento comenzará inmediatamente.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00322_NOREL;It will be beneficial for [From.GetTitledFirstName] to learn how to fight, if [From.GetSheHe] is going to win glory on the battlefield. And who better to teach [From.GetHerHim] than I, a feared Champion of Miðgarðr? The training shall begin at once.;Il sera bénéfique pour [From.GetTitledFirstName] d'apprendre à se battre, si [From.GetSheHe] va gagner la gloire sur le champ de bataille. Et qui mieux enseigner [From.GetHerHim] que moi, un champion redoutable de Miðgarðr? La formation commence à la fois.;Es wird für [From.GetTitledFirstName] vorteilhaft sein, zu lernen, wie man kämpft, wenn [From.GetSheHe] den Ruhm auf dem Schlachtfeld gewinnen wird. Und wer besser zu lehren [From.GetHerHim] als ich, ein gefürchte Champion von Miðgarðr? Die Ausbildung beginnt sofort.;;Será beneficioso para [From.GetTitledFirstName] aprender cómo luchar, si [From.GetSheHe] va a ganar la gloria en el campo de batalla. ¿Y quién mejor para enseñar [From.GetHerHim] que yo, un temido Campeón de Miðgarðr? El entrenamiento comenzará inmediatamente.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00322_REL;"Let's get started, [GetFromRelation]!";"Commençons!";"Lass uns anfangen!";;"¡Empecemos!";;;;;;;;;x
EVTOPTA_ROBMODNORSE_00322_NOREL;"Let's get started then!";"Commençons!";"Lass uns anfangen!";;"¡Empecemos!";;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00322;Begin the training;Commencez la formation;Beginne das Training;;Comienza el entrenamiento;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00323_REL;Your [GetFromRelation] [From.FirstName], the famed Champion of Miðgarðr, has kindly offered to teach you the art of personal combat. The training will be gruelling, but you feel confident that with [From.GetHerHis] famed skills, you will be able to learn much.;Votre [GetFromRelation] [From.FirstName], le grand champion de Miðgarðr, a offert de vous entraîner dans un combat personnel. La formation sera épuisante, mais vous êtes convaincu qu'avec les compétences célèbres [From.GetHerHis], vous pourrez apprendre beaucoup.;Ihr [GetFromRelation] [From.FirstName], der große Champion von Miðgarðr, hat angeboten, dich im persönlichen Kampf zu trainieren. Das Training wird zermürbend sein, aber Sie sind zuversichtlich, dass mit [From.GetHerHis] berühmten Fähigkeiten, werden Sie in der Lage, viel zu lernen.;;Su [GetFromRelation] [From.FirstName], el gran campeón de Miðgarðr, se ha ofrecido para entrenarle en combate personal. El entrenamiento será agotador, pero usted se siente confiado que con habilidades famosas de [From.GetHerHis], usted podrá aprender mucho.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00323_NOREL;The famed Champion of Miðgarðr [From.GetTitledFirstName] has kindly offered to teach you the art of personal combat, as [From.GetSheHe] believes this will benefit the realm. The training will be gruelling, but you feel confident that with [From.GetHerHis] famed skills, you will be able to learn much.;Le célèbre Champion de Miðgarðr [From.GetTitledFirstName] a bien voulu vous enseigner l'art du combat personnel. La formation sera épuisante, mais vous êtes convaincu qu'avec les compétences célèbres [From.GetHerHis], vous pourrez apprendre beaucoup.;Der berühmte Champion von Miðgarðr [From.GetTitledFirstName] hat freundlich angeboten, Ihnen die Kunst des persönlichen Kampfes beizubringen. Das Training wird zermürbend sein, aber Sie sind zuversichtlich, dass mit [From.GetHerHis] berühmten Fähigkeiten, werden Sie in der Lage, viel zu lernen.;;El famoso Campeón de Miðgarðr [From.GetTitledFirstName] ha ofrecido amablemente enseñarte el arte del combate personal. El entrenamiento será agotador, pero usted se siente confiado que con habilidades famosas de [From.GetHerHis], usted podrá aprender mucho.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00323;"Yes please!";"Oui s'il vous plaît!";"Ja bitte!";;"¡Sí por favor!";;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_00323;Begin your training with [From.GetFirstName];Commencez votre entraînement avec [From.GetFirstName];Beginne dein Training mit [From.GetFirstName];;Comience su entrenamiento con [From.GetFirstName];;;;;;;;;x,,,,,,,,,,
